qid,lang,title,url
Q1284,it,Abruzzo,https://it.wikipedia.org/wiki/Abruzzo
Q122,it,Agosto,https://it.wikipedia.org/wiki/Agosto
Q118,it,Aprile,https://it.wikipedia.org/wiki/Aprile
Q1199,it,Assia,https://it.wikipedia.org/wiki/Assia
Q13496,it,Brindisi,https://it.wikipedia.org/wiki/Brindisi
Q13680,it,Caltanissetta,https://it.wikipedia.org/wiki/Caltanissetta
Q1297,it,Chicago,https://it.wikipedia.org/wiki/Chicago
Q116341,it,Coriza,https://it.wikipedia.org/wiki/Coriza
Q1072,it,Cuore,https://it.wikipedia.org/wiki/Cuore
Q1067,it,Dante Alighieri,https://it.wikipedia.org/wiki/Dante_Alighieri
Q126,it,Dicembre,https://it.wikipedia.org/wiki/Dicembre
Q114257,it,Elbasan,https://it.wikipedia.org/wiki/Elbasan
Q1263,it,Emilia-Romagna,https://it.wikipedia.org/wiki/Emilia-Romagna
Q109,it,Febbraio,https://it.wikipedia.org/wiki/Febbraio
Q1250,it,Friuli-Venezia Giulia,https://it.wikipedia.org/wiki/Friuli-Venezia_Giulia
Q108,it,Gennaio,https://it.wikipedia.org/wiki/Gennaio
Q120,it,Giugno,https://it.wikipedia.org/wiki/Giugno
Q1282,it,Lazio,https://it.wikipedia.org/wiki/Lazio
Q1256,it,Liguria,https://it.wikipedia.org/wiki/Liguria
Q1321,it,Lingua spagnola,https://it.wikipedia.org/wiki/Lingua_spagnola
Q1210,it,Lombardia,https://it.wikipedia.org/wiki/Lombardia
Q13373,it,Lucca,https://it.wikipedia.org/wiki/Lucca
Q121,it,Luglio,https://it.wikipedia.org/wiki/Luglio
Q105,it,Lunedì,https://it.wikipedia.org/wiki/Luned%C3%AC
Q119,it,Maggio,https://it.wikipedia.org/wiki/Maggio
Q1279,it,Marche,https://it.wikipedia.org/wiki/Marche
Q111,it,Marte (astronomia),https://it.wikipedia.org/wiki/Marte_(astronomia)
Q127,it,Martedì,https://it.wikipedia.org/wiki/Marted%C3%AC
Q110,it,Marzo,https://it.wikipedia.org/wiki/Marzo
Q13666,it,Messina,https://it.wikipedia.org/wiki/Messina
Q125,it,Novembre,https://it.wikipedia.org/wiki/Novembre
Q1065,it,Organizzazione delle Nazioni Unite,https://it.wikipedia.org/wiki/Organizzazione_delle_Nazioni_Unite
Q124,it,Ottobre,https://it.wikipedia.org/wiki/Ottobre
Q1216,it,Piemonte,https://it.wikipedia.org/wiki/Piemonte
Q13375,it,Pisa,https://it.wikipedia.org/wiki/Pisa
Q1085,it,Praga,https://it.wikipedia.org/wiki/Praga
Q13629,it,Sassari,https://it.wikipedia.org/wiki/Sassari
Q123,it,Settembre,https://it.wikipedia.org/wiki/Settembre
Q11860,it,Silvio Berlusconi,https://it.wikipedia.org/wiki/Silvio_Berlusconi
Q1299,it,The Beatles,https://it.wikipedia.org/wiki/The_Beatles
Q1273,it,Toscana,https://it.wikipedia.org/wiki/Toscana
Q1404,it,Uetersen,https://it.wikipedia.org/wiki/Uetersen
Q1280,it,Umbria,https://it.wikipedia.org/wiki/Umbria
Q132140,it,Università federale del Minas Gerais,https://it.wikipedia.org/wiki/Universit%C3%A0_federale_del_Minas_Gerais
Q1243,it,Veneto,https://it.wikipedia.org/wiki/Veneto
Q15,it,Africa,https://it.wikipedia.org/wiki/Africa
Q173,it,Alabama,https://it.wikipedia.org/wiki/Alabama
Q173690,it,Argirocastro,https://it.wikipedia.org/wiki/Argirocastro
Q1492,it,Barcellona,https://it.wikipedia.org/wiki/Barcellona
Q1452,it,Basilicata,https://it.wikipedia.org/wiki/Basilicata
Q170244,it,Berat,https://it.wikipedia.org/wiki/Berat
Q1479,it,Bordeaux,https://it.wikipedia.org/wiki/Bordeaux
